Mesh Metrics:
  Number of vertices: 479372
  Loop 255 size: 3
  Loop 256 size: 1
  Loop 257 size: 1
  Loop 258 size: 1
  Loop 259 size: 2
  Loop 260 size: 9
  Loop 261 size: 1
  Loop 262 size: 4
  Loop 263 size: 4
  Loop 264 size: 4
  Loop 265 size: 2
  Loop 266 size: 4
  Loop 267 size: 4
  Loop 268 size: 2
  Loop 269 size: 1
  Loop 270 size: 3
  Loop 271 size: 8
  Loop 272 size: 9
  Loop 273 size: 4
  Loop 274 size: 2
  Loop 275 size: 6
  Loop 276 size: 3
  Loop 277 size: 2
  Loop 278 size: 2
  Loop 279 size: 13
  Loop 280 size: 5
  Loop 281 size: 1
  Loop 282 size: 18
  Loop 283 size: 7
  Loop 284 size: 1
  Loop 285 size: 3
  Loop 286 size: 1
  Loop 287 size: 4
  Loop 288 size: 1
  Loop 289 size: 4
  Loop 290 size: 4
  Loop 291 size: 2
  Loop 292 size: 1
  Loop 293 size: 1
  Loop 294 size: 4
  Loop 295 size: 2
  Loop 296 size: 1
  Loop 297 size: 1
  Loop 298 size: 3
  Loop 299 size: 2
  Loop 300 size: 3
  Loop 301 size: 8
  Loop 302 size: 1
  Loop 303 size: 1
  Loop 304 size: 2
  Loop 305 size: 1
  Loop 306 size: 1
  Loop 307 size: 1
  Loop 308 size: 1
  Loop 309 size: 1
  Loop 310 size: 1
  Loop 311 size: 2
  Loop 312 size: 5
  Loop 313 size: 2
  Loop 314 size: 1
  Loop 315 size: 2
  Loop 316 size: 1
  Loop 317 size: 1
  Loop 318 size: 1
  Loop 319 size: 1
  Loop 320 size: 5
  Loop 321 size: 1
  Loop 322 size: 4
  Loop 323 size: 4
  Loop 324 size: 1
  Loop 325 size: 2
  Loop 326 size: 1
  Loop 327 size: 1
  Loop 328 size: 1
  Loop 329 size: 2
  Loop 330 size: 2
  Loop 331 size: 4
  Loop 332 size: 2
  Loop 333 size: 2
  Loop 334 size: 1
  Loop 335 size: 1
  Loop 336 size: 1
  Loop 337 size: 1
  Loop 338 size: 3
  Loop 339 size: 7
  Loop 340 size: 6
  Loop 341 size: 1
  Loop 342 size: 1
  Loop 343 size: 2
  Loop 344 size: 1
  Loop 345 size: 2
  Loop 346 size: 5
  Loop 347 size: 5
  Loop 348 size: 3
  Loop 349 size: 1
  Loop 350 size: 2
  Loop 351 size: 4
  Loop 352 size: 1
  Loop 353 size: 1
  Loop 354 size: 2
  Loop 355 size: 2
  Loop 356 size: 4
  Loop 357 size: 7
  Loop 358 size: 1
  Loop 359 size: 1
  Loop 360 size: 4
  Loop 361 size: 3
  Loop 362 size: 4
  Loop 363 size: 6
  Loop 364 size: 1
  Loop 365 size: 13
  Loop 366 size: 1
  Loop 367 size: 2
  Loop 368 size: 1
  Loop 369 size: 4
  Loop 370 size: 3
  Loop 371 size: 4
  Loop 372 size: 1
  Loop 373 size: 4
  Loop 374 size: 2
  Loop 375 size: 5
  Loop 376 size: 3
  Loop 377 size: 2
  Loop 378 size: 4
  Loop 379 size: 2
  Loop 380 size: 2
  Loop 381 size: 13
  Loop 382 size: 4
  Loop 383 size: 46
  Loop 384 size: 3
  Loop 385 size: 4
  Loop 386 size: 4
  Loop 387 size: 32
  Loop 388 size: 7
  Loop 389 size: 2
  Loop 390 size: 1
  Loop 391 size: 1
  Loop 392 size: 3
  Loop 393 size: 1
  Loop 394 size: 2
  Loop 395 size: 6
  Loop 396 size: 1
  Loop 397 size: 4
  Loop 398 size: 1
  Loop 399 size: 1
  Loop 400 size: 3
  Loop 401 size: 30
  Loop 402 size: 1
  Loop 403 size: 2
  Loop 404 size: 1
  Loop 405 size: 1
  Loop 406 size: 3
  Loop 407 size: 4
  Loop 408 size: 8
  Loop 409 size: 33
  Loop 410 size: 21
  Loop 411 size: 4
  Loop 412 size: 120
  Loop 413 size: 1
  Loop 414 size: 1
  Loop 415 size: 2
  Loop 416 size: 17
  Loop 417 size: 4
  Loop 418 size: 1
  Loop 419 size: 1
  Loop 420 size: 4
  Loop 421 size: 14
  Loop 422 size: 21
  Loop 423 size: 1
  Loop 424 size: 3
  Loop 425 size: 1
  Loop 426 size: 1
  Loop 427 size: 9
  Loop 428 size: 6
  Loop 429 size: 2
  Loop 430 size: 1
  Loop 431 size: 1
  Loop 432 size: 2
  Loop 433 size: 6
  Loop 434 size: 1
  Loop 435 size: 2
  Loop 436 size: 2
  Loop 437 size: 4
  Loop 438 size: 2
  Loop 439 size: 3
  Loop 440 size: 1
  Loop 441 size: 4
  Loop 442 size: 5
  Loop 443 size: 46
  Loop 444 size: 1
  Loop 445 size: 3
  Loop 446 size: 4
  Loop 447 size: 1
  Loop 448 size: 4
  Loop 449 size: 1
  Loop 450 size: 6
  Loop 451 size: 2
  Loop 452 size: 3
  Loop 453 size: 4
  Loop 454 size: 4
  Loop 455 size: 1
  Loop 456 size: 1
  Loop 457 size: 4
  Loop 458 size: 6
  Loop 459 size: 7
  Loop 460 size: 2
  Loop 461 size: 4
  Loop 462 size: 4
  Loop 463 size: 2
  Loop 464 size: 2
  Loop 465 size: 1
  Loop 466 size: 2
  Loop 467 size: 102
  Loop 468 size: 1
  Loop 469 size: 5
