Mesh Metrics:
  Number of vertices: 982118
  Loop 255 size: 1
  Loop 256 size: 2
  Loop 257 size: 1
  Loop 258 size: 4
  Loop 259 size: 10
  Loop 260 size: 18
  Loop 261 size: 3
  Loop 262 size: 4
  Loop 263 size: 5
  Loop 264 size: 2
  Loop 265 size: 6
  Loop 266 size: 1
  Loop 267 size: 1
  Loop 268 size: 4
  Loop 269 size: 1
  Loop 270 size: 7
  Loop 271 size: 9
  Loop 272 size: 7
  Loop 273 size: 1
  Loop 274 size: 1
  Loop 275 size: 4
  Loop 276 size: 1
  Loop 277 size: 4
  Loop 278 size: 5
  Loop 279 size: 2
  Loop 280 size: 7
  Loop 281 size: 8
  Loop 282 size: 3
  Loop 283 size: 1
  Loop 284 size: 1
  Loop 285 size: 1
  Loop 286 size: 1
  Loop 287 size: 3
  Loop 288 size: 3
  Loop 289 size: 7
  Loop 290 size: 4
  Loop 291 size: 1
  Loop 292 size: 2
  Loop 293 size: 1
  Loop 294 size: 1
  Loop 295 size: 2
  Loop 296 size: 5
  Loop 297 size: 1
  Loop 298 size: 3
  Loop 299 size: 1
  Loop 300 size: 1
  Loop 301 size: 4
  Loop 302 size: 4
  Loop 303 size: 8
  Loop 304 size: 10
  Loop 305 size: 8
  Loop 306 size: 1
  Loop 307 size: 4
  Loop 308 size: 3
  Loop 309 size: 1
  Loop 310 size: 1
  Loop 311 size: 1
  Loop 312 size: 2
  Loop 313 size: 1
  Loop 314 size: 3
  Loop 315 size: 5
  Loop 316 size: 3
  Loop 317 size: 3
  Loop 318 size: 20
  Loop 319 size: 1
  Loop 320 size: 1
  Loop 321 size: 11
  Loop 322 size: 1
  Loop 323 size: 11
  Loop 324 size: 3
  Loop 325 size: 13
  Loop 326 size: 12
  Loop 327 size: 4
  Loop 328 size: 4
  Loop 329 size: 9
  Loop 330 size: 6
  Loop 331 size: 2
  Loop 332 size: 79
  Loop 333 size: 1
  Loop 334 size: 31
  Loop 335 size: 7
  Loop 336 size: 18
  Loop 337 size: 5
  Loop 338 size: 7
  Loop 339 size: 3
  Loop 340 size: 6
  Loop 341 size: 3
  Loop 342 size: 5
  Loop 343 size: 15
  Loop 344 size: 1
  Loop 345 size: 6
  Loop 346 size: 8
  Loop 347 size: 1
  Loop 348 size: 1
  Loop 349 size: 5
  Loop 350 size: 8
  Loop 351 size: 1
  Loop 352 size: 25
  Loop 353 size: 5
  Loop 354 size: 3
  Loop 355 size: 1
  Loop 356 size: 1
  Loop 357 size: 3
  Loop 358 size: 9
  Loop 359 size: 4
  Loop 360 size: 4
  Loop 361 size: 6
  Loop 362 size: 10
  Loop 363 size: 3
  Loop 364 size: 3
  Loop 365 size: 4
  Loop 366 size: 3
  Loop 367 size: 4
  Loop 368 size: 3
  Loop 369 size: 3
  Loop 370 size: 1
  Loop 371 size: 5
  Loop 372 size: 1
  Loop 373 size: 2
  Loop 374 size: 1
  Loop 375 size: 3
  Loop 376 size: 1
  Loop 377 size: 2
  Loop 378 size: 1
  Loop 379 size: 3
  Loop 380 size: 4
  Loop 381 size: 5
  Loop 382 size: 3
  Loop 383 size: 5
  Loop 384 size: 3
  Loop 385 size: 1
  Loop 386 size: 7
  Loop 387 size: 7
  Loop 388 size: 17
  Loop 389 size: 1
  Loop 390 size: 7
  Loop 391 size: 1
  Loop 392 size: 5
  Loop 393 size: 12
  Loop 394 size: 3
  Loop 395 size: 4
  Loop 396 size: 1
  Loop 397 size: 1
  Loop 398 size: 3
  Loop 399 size: 4
  Loop 400 size: 5
  Loop 401 size: 5
  Loop 402 size: 5
  Loop 403 size: 2
  Loop 404 size: 1
  Loop 405 size: 1
  Loop 406 size: 8
  Loop 407 size: 5
  Loop 408 size: 4
  Loop 409 size: 1
  Loop 410 size: 2
  Loop 411 size: 1
  Loop 412 size: 1
  Edge boundary ratio: 0.00125402
  Number of connected components: 451
  Largest component size (faces): 1892817
  Smallest component size (faces): 1
  Average component size (faces): 4355.1
COMPONENT SIZES:
  Component 0 size: 1892817
  Component 1 size: 26
  Component 2 size: 16394
  Component 3 size: 40
  Component 4 size: 70
  Component 5 size: 38
