Mesh Metrics:
  Number of vertices: 833649
  Loop 255 size: 1
  Loop 256 size: 1
  Loop 257 size: 10
  Loop 258 size: 1
  Loop 259 size: 1
  Loop 260 size: 3
  Loop 261 size: 5
  Loop 262 size: 2
  Loop 263 size: 11
  Loop 264 size: 3
  Loop 265 size: 5
  Loop 266 size: 1
  Loop 267 size: 1
  Loop 268 size: 1
  Loop 269 size: 12
  Loop 270 size: 1
  Loop 271 size: 2
  Loop 272 size: 4
  Loop 273 size: 4
  Loop 274 size: 2
  Loop 275 size: 5
  Loop 276 size: 1
  Loop 277 size: 5
  Loop 278 size: 1
  Loop 279 size: 1
  Loop 280 size: 1
  Loop 281 size: 3
  Loop 282 size: 5
  Loop 283 size: 2
  Loop 284 size: 1
  Loop 285 size: 1
  Loop 286 size: 1
  Loop 287 size: 3
  Loop 288 size: 1
  Loop 289 size: 1
  Loop 290 size: 5
  Loop 291 size: 5
  Loop 292 size: 10
  Loop 293 size: 2
  Loop 294 size: 1
  Loop 295 size: 5
  Loop 296 size: 6
  Loop 297 size: 1
  Loop 298 size: 1
  Loop 299 size: 6
  Loop 300 size: 1
  Loop 301 size: 1
  Loop 302 size: 5
  Edge boundary ratio: 0.00120147
  Number of connected components: 493
  Largest component size (faces): 1569035
  Smallest component size (faces): 1
  Average component size (faces): 3381.21
COMPONENT SIZES:
  Component 0 size: 1569035
  Component 1 size: 4754
  Component 2 size: 20863
  Component 3 size: 1188
  Component 4 size: 1463
  Component 5 size: 2557
  Component 6 size: 46
  Component 7 size: 16
  Component 8 size: 37731
  Component 9 size: 1412
  Component 10 size: 32
  Component 11 size: 30
  Component 12 size: 193
  Component 13 size: 54
  Component 14 size: 90
  Component 15 size: 20
  Component 16 size: 1324
  Component 17 size: 20
  Component 18 size: 60
  Component 19 size: 44
  Component 20 size: 800
  Component 21 size: 32
  Component 22 size: 56
  Component 23 size: 16
  Component 24 size: 22
  Component 25 size: 64
  Component 26 size: 14
  Component 27 size: 50
  Component 28 size: 4886
  Component 29 size: 24
  Component 30 size: 1702
  Component 31 size: 58
  Component 32 size: 24
  Component 33 size: 1070
  Component 34 size: 34
  Component 35 size: 74
  Component 36 size: 1792
  Component 37 size: 16
  Component 38 size: 168
  Component 39 size: 34
  Component 40 size: 52
  Component 41 size: 20
  Component 42 size: 48
  Component 43 size: 16
  Component 44 size: 22
  Component 45 size: 16
  Component 46 size: 34
  Component 47 size: 26
  Component 48 size: 30
  Component 49 size: 24
  Component 50 size: 32
  Component 51 size: 48
  Component 52 size: 52
  Component 53 size: 12
  Component 54 size: 48
  Component 55 size: 26
  Component 56 size: 24
  Component 57 size: 46
  Component 58 size: 46
  Component 59 size: 32
  Component 60 size: 52
  Component 61 size: 54
  Component 62 size: 46
  Component 63 size: 30
  Component 64 size: 50
  Component 65 size: 38
  Component 66 size: 18
  Component 67 size: 20
  Component 68 size: 38
  Component 69 size: 20
  Component 70 size: 16
  Component 71 size: 42
  Component 72 size: 28
  Component 73 size: 24
  Component 74 size: 36
  Component 75 size: 34
  Component 76 size: 34
  Component 77 size: 82
  Component 78 size: 28
  Component 79 size: 16
  Component 80 size: 22
  Component 81 size: 26
  Component 82 size: 136
  Component 83 size: 10
  Component 84 size: 128
  Component 85 size: 24
  Component 86 size: 34
  Component 87 size: 47
  Component 88 size: 22
  Component 89 size: 28
  Component 90 size: 20
  Component 91 size: 136
  Component 92 size: 272
  Component 93 size: 24
  Component 94 size: 276
  Component 95 size: 110
  Component 96 size: 132
  Component 97 size: 34
  Component 98 size: 106
  Component 99 size: 56
  Component 100 size: 26
  Component 101 size: 22
  Component 102 size: 44
  Component 103 size: 34
  Component 104 size: 40
  Component 105 size: 24
  Component 106 size: 22
  Component 107 size: 18
  Component 108 size: 14
  Component 109 size: 70
  Component 110 size: 18
  Component 111 size: 106
  Component 112 size: 28
  Component 113 size: 26
  Component 114 size: 26
  Component 115 size: 28
  Component 116 size: 28
  Component 117 size: 14
  Component 118 size: 50
  Component 119 size: 20
  Component 120 size: 38
  Component 121 size: 78
  Component 122 size: 20
  Component 123 size: 84
  Component 124 size: 20
  Component 125 size: 22
  Component 126 size: 18
  Component 127 size: 24
  Component 128 size: 32
  Component 129 size: 76
  Component 130 size: 20
  Component 131 size: 18
  Component 132 size: 52
  Component 133 size: 14
  Component 134 size: 46
  Component 135 size: 18
  Component 136 size: 16
  Component 137 size: 20
  Component 138 size: 22
  Component 139 size: 30
  Component 140 size: 78
  Component 141 size: 20
  Component 142 size: 36
  Component 143 size: 36
  Component 144 size: 14
  Component 145 size: 24
  Component 146 size: 54
  Component 147 size: 484
  Component 148 size: 28
  Component 149 size: 24
  Component 150 size: 22
  Component 151 size: 72
  Component 152 size: 14
  Component 153 size: 50
  Component 154 size: 50
  Component 155 size: 76
  Component 156 size: 14
  Component 157 size: 34
  Component 158 size: 16
  Component 159 size: 7
  Component 160 size: 26
  Component 161 size: 13
  Component 162 size: 4
  Component 163 size: 22
  Component 164 size: 14
  Component 165 size: 32
  Component 166 size: 30
  Component 167 size: 20
  Component 168 size: 50
  Component 169 size: 30
  Component 170 size: 3
  Component 171 size: 44
  Component 172 size: 76
  Component 173 size: 52
  Component 174 size: 40
  Component 175 size: 22
  Component 176 size: 114
  Component 177 size: 44
  Component 178 size: 24
  Component 179 size: 30
  Component 180 size: 42
  Component 181 size: 18
  Component 182 size: 22
  Component 183 size: 22
  Component 184 size: 32
  Component 185 size: 52
  Component 186 size: 24
  Component 187 size: 20
  Component 188 size: 62
  Component 189 size: 22
  Component 190 size: 44
  Component 191 size: 22
  Component 192 size: 54
  Component 193 size: 26
