Mesh Metrics:
  Number of vertices: 1678693
  Loop 255 size: 2
  Loop 256 size: 1
  Loop 257 size: 5
  Loop 258 size: 1
  Loop 259 size: 2
  Loop 260 size: 1
  Loop 261 size: 4
  Loop 262 size: 2
  Loop 263 size: 1
  Loop 264 size: 1
  Loop 265 size: 3
  Loop 266 size: 3
  Loop 267 size: 1
  Loop 268 size: 3
  Loop 269 size: 1
  Loop 270 size: 1
  Loop 271 size: 7
  Loop 272 size: 61
  Loop 273 size: 2
  Loop 274 size: 1
  Loop 275 size: 3
  Loop 276 size: 1
  Loop 277 size: 42
  Loop 278 size: 1
  Loop 279 size: 7
  Loop 280 size: 4
  Loop 281 size: 4
  Loop 282 size: 1
  Loop 283 size: 3
  Loop 284 size: 1
  Loop 285 size: 1
  Loop 286 size: 1
  Loop 287 size: 1
  Loop 288 size: 1
  Loop 289 size: 4
  Loop 290 size: 1
  Loop 291 size: 54
  Loop 292 size: 30
  Loop 293 size: 3
  Loop 294 size: 51
  Loop 295 size: 25
  Loop 296 size: 3
  Loop 297 size: 176
  Loop 298 size: 5
  Loop 299 size: 5
  Loop 300 size: 21
  Loop 301 size: 6
  Loop 302 size: 3
  Loop 303 size: 7
  Loop 304 size: 7
  Loop 305 size: 8
  Loop 306 size: 5
  Loop 307 size: 1323
  Loop 308 size: 5
  Loop 309 size: 5
  Loop 310 size: 3
  Loop 311 size: 49
  Loop 312 size: 3
  Loop 313 size: 4
  Loop 314 size: 4
  Loop 315 size: 7
  Loop 316 size: 54
  Loop 317 size: 95
  Loop 318 size: 6
  Loop 319 size: 7
  Loop 320 size: 340
  Loop 321 size: 1
  Loop 322 size: 3
  Loop 323 size: 1
  Loop 324 size: 83
  Loop 325 size: 41
  Loop 326 size: 1
  Loop 327 size: 1
  Loop 328 size: 285
  Loop 329 size: 4
  Loop 330 size: 1
  Loop 331 size: 3
  Loop 332 size: 2
  Loop 333 size: 1
  Loop 334 size: 1
  Loop 335 size: 1
  Loop 336 size: 4
  Loop 337 size: 1245
  Loop 338 size: 4
  Loop 339 size: 1
